year,level_1,level_2,value
1985,Brides Aged 40-44 Years,Grooms Aged 30-34 Years,6
1985,Brides Aged 40-44 Years,Grooms Aged 35-39 Years,20
1985,Brides Aged 40-44 Years,Grooms Aged 40-44 Years,34
1985,Brides Aged 40-44 Years,Grooms Aged 45-49 Years,35
1985,Brides Aged 40-44 Years,Grooms Aged 50-54 Years,12
1985,Brides Aged 40-44 Years,Grooms Aged 55-59 Years,4
1985,Brides Aged 40-44 Years,Grooms Aged 60 Years & Over,4
1985,Brides Aged 45-49 Years,Grooms Aged Under 20 Years,0
1985,Brides Aged 45-49 Years,Grooms Aged 20-24 Years,1
1985,Brides Aged 45-49 Years,Grooms Aged 25-29 Years,0
1985,Brides Aged 45-49 Years,Grooms Aged 30-34 Years,0
1985,Brides Aged 45-49 Years,Grooms Aged 35-39 Years,6
1985,Brides Aged 45-49 Years,Grooms Aged 40-44 Years,9
1985,Brides Aged 45-49 Years,Grooms Aged 45-49 Years,8
1985,Brides Aged 45-49 Years,Grooms Aged 50-54 Years,11
1985,Brides Aged 45-49 Years,Grooms Aged 55-59 Years,12
1985,Brides Aged 45-49 Years,Grooms Aged 60 Years & Over,7
1985,Brides Aged 50-54 Years,Grooms Aged Under 20 Years,0
1985,Brides Aged 50-54 Years,Grooms Aged 20-24 Years,0
1985,Brides Aged 50-54 Years,Grooms Aged 25-29 Years,1
1985,Brides Aged 50-54 Years,Grooms Aged 30-34 Years,0
1985,Brides Aged 50-54 Years,Grooms Aged 35-39 Years,2
1985,Brides Aged 50-54 Years,Grooms Aged 40-44 Years,1
1985,Brides Aged 50-54 Years,Grooms Aged 45-49 Years,3
1985,Brides Aged 50-54 Years,Grooms Aged 50-54 Years,3
1985,Brides Aged 50-54 Years,Grooms Aged 55-59 Years,5
1985,Brides Aged 50-54 Years,Grooms Aged 60 Years & Over,4
1985,Brides Aged 55-59 Years,Grooms Aged Under 20 Years,0
1985,Brides Aged 55-59 Years,Grooms Aged 20-24 Years,0
1985,Brides Aged 55-59 Years,Grooms Aged 25-29 Years,0
1985,Brides Aged 55-59 Years,Grooms Aged 30-34 Years,0
1985,Brides Aged 55-59 Years,Grooms Aged 35-39 Years,0
1985,Brides Aged 55-59 Years,Grooms Aged 40-44 Years,0
1985,Brides Aged 55-59 Years,Grooms Aged 45-49 Years,3
1985,Brides Aged 55-59 Years,Grooms Aged 50-54 Years,2
1985,Brides Aged 55-59 Years,Grooms Aged 55-59 Years,2
1985,Brides Aged 55-59 Years,Grooms Aged 60 Years & Over,1
1985,Brides Aged 60 Years & Over,Grooms Aged Under 20 Years,0
1985,Brides Aged 60 Years & Over,Grooms Aged 20-24 Years,0
1985,Brides Aged 60 Years & Over,Grooms Aged 25-29 Years,0
1985,Brides Aged 60 Years & Over,Grooms Aged 30-34 Years,0
1985,Brides Aged 60 Years & Over,Grooms Aged 35-39 Years,0
1985,Brides Aged 60 Years & Over,Grooms Aged 40-44 Years,0
1985,Brides Aged 60 Years & Over,Grooms Aged 45-49 Years,0
1985,Brides Aged 60 Years & Over,Grooms Aged 50-54 Years,0
1985,Brides Aged 60 Years & Over,Grooms Aged 55-59 Years,0
1985,Brides Aged 60 Years & Over,Grooms Aged 60 Years & Over,4
1986,Total,Grooms Aged Under 20 Years,63
1986,Total,Grooms Aged 20-24 Years,3277
1986,Total,Grooms Aged 25-29 Years,7064
1986,Total,Grooms Aged 30-34 Years,3360
1986,Total,Grooms Aged 35-39 Years,989
1986,Total,Grooms Aged 40-44 Years,315
1986,Total,Grooms Aged 45-49 Years,163
1986,Total,Grooms Aged 50-54 Years,58
1986,Total,Grooms Aged 55-59 Years,52
1986,Total,Grooms Aged 60 Years & Over,34
1986,Brides Aged Under 20 Years,Grooms Aged Under 20 Years,47
1986,Brides Aged Under 20 Years,Grooms Aged 20-24 Years,488
1986,Brides Aged Under 20 Years,Grooms Aged 25-29 Years,242
1986,Brides Aged Under 20 Years,Grooms Aged 30-34 Years,39
1986,Brides Aged Under 20 Years,Grooms Aged 35-39 Years,4
1986,Brides Aged Under 20 Years,Grooms Aged 40-44 Years,1
1986,Brides Aged Under 20 Years,Grooms Aged 45-49 Years,1
1986,Brides Aged Under 20 Years,Grooms Aged 50-54 Years,0
